	Base	IHC	NN	Productivity	Exp. - Prod. gain
(Intercept)	-0.306	-0.306	-0.307	-0.663	-0.309
	(0.186)	(0.186)	(0.186)	(0.342)	(0.187)
Age.c	0.342	0.313	0.286	0.193	0.217
	(0.188)	(0.218)	(0.210)	(0.221)	(0.228)
IHC.c		0.058			
		(0.216)			
wcnscore.c			0.126		
			(0.209)		
Productivity: Productive/Nonproductive				0.579	
				(0.456)	
prod.gradient.c					0.221
					(0.230)
Nagelkerke R-sq.	0.037	0.038	0.041	0.054	0.047
Log-likelihood	-81.539	-81.503	-81.358	-80.725	-81.072
AIC	167.077	169.006	168.716	167.450	168.143
N	122	122	122	122	122
